,PlayerName,Embeddings,ImagePath
0,marcus coco,"[-1.1186531782150269, -1.1018437147140503, -0.0029135812073946, 0.007382646203041077, -1.0838770866394043, 0.7781624794006348, -0.18776296079158783, 0.8906050324440002, -2.082979917526245, 0.32170456647872925, -1.8041235208511353, -0.8296384811401367, -1.3403655290603638, 1.113686203956604, 0.951945424079895, -0.39205336570739746, 0.21885046362876892, 0.746094286441803, -1.1389460563659668, -1.044755220413208, -0.35656654834747314, 0.4912494719028473, -0.3442700505256653, -0.295122355222702, 0.7808688879013062, 0.16289854049682617, -0.06397619098424911, 0.21560342609882355, 1.2959073781967163, 0.5634159445762634, -0.24512624740600586, 2.3015236854553223, 1.2992817163467407, 0.47202199697494507, -0.3414645791053772, -0.5425378084182739, 0.3995441198348999, -1.4394837617874146, -0.7582235336303711, -2.253998279571533, 0.12609976530075073, 0.9270092248916626, 0.7024796009063721, 0.12515805661678314, 2.138972282409668, 1.450356125831604, 1.478757381439209, -0.6336187124252319, -0.3025892972946167, 0.27083444595336914, 0.4114619493484497, -0.21725419163703918, 0.6808302402496338, -1.1667150259017944, -0.6034881472587585, 0.2664051949977875, -0.538750171661377, 0.5641210675239563, 1.893176794052124, -0.1583850383758545, 0.31496018171310425, 0.5306651592254639, -1.2057769298553467, 3.27422833442688, 1.95412278175354, -0.12588341534137726, 0.6289514303207397, 0.9639883041381836, 1.9760210514068604, -1.0073661804199219, -0.25686898827552795, -0.7463258504867554, -1.1381072998046875, -0.9257479906082153, 1.5253301858901978, -0.4086100459098816, 0.060881391167640686, -1.152048110961914, 0.27748438715934753, 1.365470290184021, -0.16171908378601074, 1.3853448629379272, -0.9366012215614319, 0.5281837582588196, -0.1804715394973755, -0.25957822799682617, 0.6345803737640381, -0.05527373403310776, -3.0266849994659424, -0.4356503188610077, -0.3885380029678345, 1.453554630279541, -1.8621809482574463, -0.4668079912662506, 0.6622918844223022, -0.8428778052330017, 0.45288756489753723, -1.0226167440414429, -0.30480995774269104, 1.7882318496704102, -1.8495897054672241, -0.5720831155776978, -1.6511139869689941, 1.2545260190963745, -2.622023820877075, -0.047064900398254395, -1.7788887023925781, -1.6185890436172485, -0.09916531294584274, 0.9205891489982605, -1.9638603925704956, -0.5498071312904358, -0.41279658675193787, 1.1343132257461548, 0.49689438939094543, 0.05819137394428253, 0.46693429350852966, -0.3556296229362488, -0.7867552042007446, 0.9409897327423096, 1.364650845527649, -0.12661181390285492, 0.9280839562416077, 0.7112669348716736, -0.6463335156440735, -1.1939688920974731, 1.9155985116958618, 1.4227688312530518]",/Users/sohail433/Downloads/cropped_433_images/marcus coco/414--10--Copyright-ProShots-17530517.jpg
1,joe worrall,"[-0.6647626161575317, -0.3170119524002075, -0.2700174152851105, -0.3257928788661957, 0.20870065689086914, 0.6129539608955383, 0.1912342756986618, 0.007461068220436573, -0.13025560975074768, -0.20716886222362518, 0.8116630911827087, 0.31232234835624695, 0.8026488423347473, -0.14809264242649078, -0.0536043643951416, 0.21911881864070892, 0.5670052170753479, -0.8558303713798523, 0.1756240725517273, -0.051369309425354004, -0.5604586005210876, 0.20547595620155334, -0.18763944506645203, -0.182185560464859, 0.2567051947116852, 0.1881953775882721, 0.5711246132850647, 0.331821471452713, -0.38161736726760864, -0.7841526865959167, -0.20355570316314697, 0.13712257146835327, 0.11055006831884384, 0.13984891772270203, 0.28243768215179443, 0.4641631841659546, 0.10813404619693756, 0.15965020656585693, 0.08759386837482452, -0.7407195568084717, 0.34413042664527893, 0.6076195240020752, -0.48009124398231506, -0.15477564930915833, -0.5422242879867554, -1.0779662132263184, 0.29912903904914856, -0.3524402976036072, -0.015583120286464691, 0.5364168286323547, -1.0029726028442383, -0.06458178162574768, -0.07419732958078384, 0.03679981827735901, -0.40569600462913513, 0.45134037733078003, 0.6624217629432678, 0.22338151931762695, -0.30634012818336487, -0.9381698369979858, -0.25043293833732605, 0.07955926656723022, 0.1463942974805832, 1.1814672946929932, 0.10452596098184586, -0.09413421154022217, -0.16000142693519592, -0.20163656771183014, 0.29752814769744873, 0.032225627452135086, 0.07995708286762238, -0.09016737341880798, -0.4501841366291046, 0.4359248876571655, 0.2731577754020691, -0.18661324679851532, -0.07979190349578857, 0.10953067243099213, 0.34199824929237366, 0.04881508648395538, -0.15177306532859802, -0.4634914696216583, -0.4553508162498474, 0.06716129183769226, 0.8681823015213013, 0.23410755395889282, 1.580243706703186, 0.08409267663955688, -1.1020785570144653, 0.4741835296154022, -0.18323327600955963, -0.44377267360687256, 0.016307566314935684, -0.633658230304718, 0.6566953659057617, 0.6696557402610779, -0.3248046636581421, -0.130560964345932, -0.4190070331096649, -0.14292298257350922, -0.6796963214874268, 0.5672352313995361, 0.0675869882106781, -0.1379503756761551, 0.7289075255393982, 0.4824402332305908, 0.16509753465652466, -0.6371225118637085, 0.17882269620895386, -0.9670202136039734, 0.43782931566238403, 0.16947507858276367, 0.4118722081184387, 1.0874491930007935, -0.301328182220459, 0.5123908519744873, -0.2354883849620819, 0.30645060539245605, 0.5196950435638428, 0.5953180193901062, -0.24538464844226837, -0.07910752296447754, 0.4378119111061096, 0.5467866063117981, 0.6096848249435425, -0.2776344418525696, 0.648341953754425, 0.5928514003753662]",/Users/sohail433/Downloads/cropped_433_images/joe worrall/53--7--Copyright-ProShots-9706677.jpg
2,joe worrall,"[-1.1463167667388916, -0.622653603553772, -0.4015253782272339, 0.39934635162353516, -0.5002757906913757, 1.4712883234024048, -0.8736260533332825, -0.2610377371311188, 0.567675769329071, -0.13641107082366943, -0.09829799085855484, -0.07316607981920242, 1.026424527168274, 0.8210151195526123, 0.09178964048624039, -0.3806331753730774, 0.6678832769393921, -1.5424375534057617, -0.3371637761592865, 0.21016834676265717, -0.5589715242385864, -0.08315085619688034, 0.6200030446052551, 0.943347156047821, 1.004497766494751, 0.0083601213991642, 0.37137356400489807, 0.25414812564849854, -0.37366825342178345, -0.7725367546081543, 0.03408261388540268, -0.3072260022163391, -0.29913315176963806, 1.2493239641189575, -0.07497265934944153, 0.7097561955451965, -1.0142476558685303, -0.2075183093547821, -0.395774781703949, -0.5485286712646484, 0.19653765857219696, 0.35293275117874146, -0.9167050123214722, -0.025089211761951447, -0.1072341725230217, -1.0480785369873047, 0.8295800089836121, 0.34973421692848206, 0.5017164349555969, 0.5806862115859985, -0.8295930027961731, -0.06402163207530975, 0.010743066668510437, -0.6421055197715759, -0.48121944069862366, 0.07680333405733109, 1.40459144115448, -0.5102775692939758, -0.19759255647659302, -0.2844381630420685, -0.2107701599597931, 0.2614213228225708, 0.31888794898986816, 1.223580002784729, 0.34162378311157227, -1.031726598739624, -0.2611619532108307, -0.28260743618011475, 0.08657515048980713, -0.4629201591014862, -0.16584958136081696, -0.3304815888404846, -0.1275642365217209, 0.09991708397865295, 0.49693533778190613, -0.5727536082267761, 0.08670380711555481, -0.4250980615615845, 0.16519209742546082, 0.02963760495185852, -0.04265950620174408, -0.8614073991775513, 0.0073811933398246765, 0.6178187131881714, 0.7331543564796448, 0.7602523565292358, 1.5146584510803223, 0.30075395107269287, -1.1867740154266357, -0.03606857359409332, 0.8680787086486816, -0.5257599353790283, -0.003839530050754547, -0.3015594780445099, 1.4546239376068115, 1.8046602010726929, -0.44210585951805115, 0.7959429025650024, -1.1080026626586914, 0.10961545258760452, 0.189461350440979, 0.3478947579860687, -0.41710710525512695, 0.3035554587841034, 0.23203089833259583, -0.23231984674930573, -0.7751270532608032, -0.47996786236763, 0.28012722730636597, -2.227018117904663, -0.25159960985183716, -0.16742926836013794, 0.11893711984157562, 1.1687707901000977, -0.13486908376216888, -0.21353329718112946, 0.07450056076049805, 0.07200054824352264, 0.622645914554596, 0.9214134812355042, 0.3563845157623291, -0.8898855447769165, -0.015628427267074585, -0.26001644134521484, 0.7708489298820496, -0.9531772136688232, 1.407061219215393, 0.7459080815315247]",/Users/sohail433/Downloads/cropped_433_images/joe worrall/345--1--imago0000238187h.jpg
3,joe worrall,"[0.38424989581108093, -0.3319213092327118, -0.25400227308273315, -1.0317280292510986, 0.41701021790504456, 0.18024231493473053, 0.2532941401004791, -0.5582573413848877, -0.3215646743774414, 0.822151780128479, 1.1463382244110107, 0.2753748297691345, -0.1667460799217224, -0.5908350944519043, 0.0019906163215637207, 1.209268569946289, 1.1135205030441284, -0.0503418855369091, 0.47817203402519226, 0.10471922159194946, 0.6664314270019531, 0.434885174036026, -0.18813031911849976, 0.325668603181839, 0.7450307607650757, 1.3160463571548462, -0.7737631797790527, 0.3232734203338623, 0.672518789768219, 1.7351137399673462, 1.1591205596923828, 0.6163064241409302, -1.533459186553955, 1.6464874744415283, 1.0629329681396484, 0.26326483488082886, -0.9613540768623352, 0.09229335933923721, 0.5518820285797119, -1.1055132150650024, -0.6601936221122742, 0.3728654980659485, -1.8802847862243652, -0.3576437532901764, 0.9474749565124512, -0.8644733428955078, 1.0464675426483154, -0.12698020040988922, 0.5906913876533508, 2.0668554306030273, 0.007977724075317383, -1.7508257627487183, 1.0818390846252441, 0.018450342118740082, -1.6328623294830322, -0.8821608424186707, 1.3462692499160767, -0.6710907816886902, -0.343804270029068, 0.38243845105171204, -1.6263457536697388, -0.5712014436721802, 1.5407311916351318, -0.8251731395721436, 0.09423477202653885, -3.2097132205963135, 0.1181258112192154, -2.7603158950805664, 1.5214117765426636, -0.877313494682312, 0.520902156829834, -1.0040929317474365, -1.8000264167785645, 0.2435399442911148, 0.002644408494234085, -2.1366264820098877, -0.07097220420837402, -0.562827467918396, 1.5447182655334473, -0.44099652767181396, 0.4434627294540405, -2.320411443710327, 0.634131133556366, -1.552595615386963, -0.44804760813713074, 2.542794704437256, 1.0093214511871338, 1.6344355344772339, 1.5767076015472412, 1.1915303468704224, -0.3271424174308777, 1.0300192832946777, -1.3824257850646973, 0.3475371301174164, 2.585904598236084, 1.1415475606918335, 0.2967399060726166, -2.6645121574401855, 0.9749360680580139, 0.7065626382827759, 0.9117193222045898, 2.1782777309417725, 0.39464035630226135, -1.459450125694275, 0.2694017291069031, 0.8524933457374573, -0.5357913970947266, 0.49294155836105347, 0.38477540016174316, -2.4845690727233887, -0.1978967934846878, -0.2905696630477905, -1.2785186767578125, 0.5657926797866821, 2.0341005325317383, -1.1385588645935059, 1.0309581756591797, 0.27023980021476746, -0.21151334047317505, -0.7634998559951782, -0.6651686429977417, 0.17293725907802582, -0.008106663823127747, -0.8330685496330261, -0.9549516439437866, 0.471200555562973, -0.5099017024040222, -2.180392265319824]",/Users/sohail433/Downloads/cropped_433_images/joe worrall/401--2--GettyImages-1288162326.jpg
4,joe worrall,"[-0.438016802072525, -0.6068106889724731, -0.2824724316596985, -0.31201279163360596, -0.5502350330352783, 0.8081741333007812, -0.43131187558174133, 0.1655934751033783, 0.0740300714969635, 0.1896175742149353, -0.13297750055789948, 0.3362131118774414, 1.189686894416809, -0.3743900954723358, 0.11092492938041687, -0.6896875500679016, 0.45819103717803955, -0.6200881004333496, 0.20005318522453308, 0.6115795373916626, -0.41802337765693665, 0.3483310639858246, 0.05161062628030777, 0.7495381832122803, 0.7031370997428894, 0.39053353667259216, 0.7497060894966125, 0.18219982087612152, -0.4557639956474304, -1.0983400344848633, -0.36993148922920227, 0.3833996057510376, -0.47751808166503906, 0.5756329298019409, 0.30334773659706116, 0.5568913221359253, -0.9114637970924377, -0.6457337737083435, -0.1933581829071045, -0.2553316354751587, 0.03407695144414902, 0.47937604784965515, -0.4853570759296417, 0.39723464846611023, 0.1678319126367569, -1.0484211444854736, 0.5591575503349304, -0.16542330384254456, -0.03214600309729576, -0.07170472294092178, -1.40876305103302, -0.16000421345233917, -0.4986434876918793, -0.1926373690366745, -0.11448264122009277, -0.4391195774078369, 1.0507563352584839, -0.16843515634536743, -0.7375727295875549, -1.1631640195846558, 0.2056082785129547, -0.02805371955037117, -0.025139186531305313, 0.6171111464500427, 0.1996922791004181, 0.04320395737886429, -0.11406523734331131, -0.03214389830827713, -0.06011984497308731, -0.572509765625, -0.2747189402580261, -0.009308017790317535, 0.0715288370847702, 0.3809813857078552, 0.7837972640991211, -0.6250233054161072, -0.5537109375, -0.3570871353149414, 0.5472537279129028, 0.4293386936187744, 0.3206949532032013, -0.4821672737598419, -0.726078987121582, 0.31606075167655945, 1.1720348596572876, 0.3034004271030426, 0.9153696894645691, 0.06163796782493591, -1.00851309299469, 0.6471720933914185, 0.23642165958881378, -0.25122594833374023, -0.5979415774345398, -0.3966044485569, 0.8550994396209717, 1.0331312417984009, -0.38630807399749756, 0.6351220607757568, -0.457845002412796, -0.3918590545654297, 0.1582656055688858, 0.15100309252738953, -0.25143352150917053, -0.10726259648799896, 0.07853072136640549, 0.1161857396364212, -0.346575528383255, -0.4132036566734314, 0.34832656383514404, -1.7236852645874023, 0.19420385360717773, -0.19474674761295319, 0.5744799375534058, 0.6289039850234985, -0.04529780149459839, 0.7428498268127441, -0.6168675422668457, -0.0433117151260376, 1.4200236797332764, 1.1599819660186768, 0.06240426003932953, -0.2120339274406433, -0.48276370763778687, 0.014215594157576561, 0.799879252910614, -0.732995331287384, 0.9590024352073669, 0.3454642593860626]",/Users/sohail433/Downloads/cropped_433_images/joe worrall/296--2--imago1007710415h.jpg
5,joe worrall,"[-0.8757250308990479, -0.3570055663585663, -2.053119421005249, 0.9105517864227295, -0.3562173843383789, 0.9147864580154419, -1.2223213911056519, 0.29889991879463196, -0.05273277312517166, -0.18019019067287445, 0.18726322054862976, -0.28617119789123535, 0.10679173469543457, 0.4743522107601166, 0.09051529318094254, -0.598422646522522, 0.654716968536377, -1.6608493328094482, -0.8681917786598206, 1.0359658002853394, -0.13680507242679596, -0.660415530204773, 0.4245905578136444, 0.406415194272995, 1.1198456287384033, 0.5874342918395996, 0.17039652168750763, -0.18633708357810974, -0.0026030391454696655, -0.8639757633209229, 0.32475435733795166, 0.13941527903079987, -1.5606704950332642, 1.8889509439468384, -0.3145792782306671, 2.0739669799804688, -0.7654857635498047, -1.3808201551437378, -0.7065354585647583, -1.160521149635315, 0.14130669832229614, 1.35400390625, -1.0391168594360352, 0.449554443359375, 0.47413456439971924, -1.3818755149841309, 1.336348295211792, 1.2536941766738892, -0.23715707659721375, 0.44880411028862, -0.24657349288463593, -0.016689293086528778, -0.526544988155365, 0.47932395339012146, -0.5982010364532471, -0.5282222032546997, 0.680670440196991, 0.05952953174710274, -0.15654896199703217, -0.543610692024231, -1.0988837480545044, 0.07603071630001068, 0.48341894149780273, 0.8092369437217712, 0.7133141756057739, -0.9376387000083923, -1.1967400312423706, 0.04224748536944389, 0.2419438660144806, -1.453936219215393, 0.37596267461776733, -0.42662933468818665, -1.616036057472229, 1.0182474851608276, 0.5646385550498962, 0.2367691695690155, -0.06723614037036896, 0.37303176522254944, 0.5281006097793579, -0.4173160791397095, -0.48833784461021423, -0.43242955207824707, -0.10821239650249481, -0.15689337253570557, 0.9715883731842041, 0.6398642063140869, 0.6479091048240662, 1.0442129373550415, -0.7183449268341064, -0.32650333642959595, 0.5348533987998962, -0.3174571394920349, 0.1814388781785965, 0.4567728340625763, 0.5923182368278503, 2.559192419052124, -0.3867875635623932, -0.3790021538734436, 0.12718087434768677, 1.1631051301956177, -0.5046376585960388, 0.8269452452659607, -0.4626012444496155, -0.5908134579658508, -0.7092891335487366, -0.6745892763137817, -0.018252938985824585, 0.5798653364181519, 0.17612232267856598, -2.2354068756103516, -0.5531411170959473, -0.11197629570960999, 0.8455723524093628, -0.4437533915042877, 0.6792647838592529, 1.171034574508667, 0.37972983717918396, 0.12638674676418304, 0.3508438766002655, 0.7068217992782593, 0.5376695394515991, -0.8200347423553467, 0.5279244184494019, -0.8939913511276245, 0.36436498165130615, -1.0707155466079712, 0.9967387318611145, -0.12815088033676147]",/Users/sohail433/Downloads/cropped_433_images/joe worrall/182--9--IGTV .png
6,joe worrall,"[-1.6772167682647705, -0.5692731142044067, -0.9574591517448425, -0.03789781779050827, -0.06357628852128983, 0.2576998472213745, -0.08999062329530716, -0.5732234716415405, 0.5326974987983704, 0.46590644121170044, 0.6678399443626404, -0.2144697904586792, -0.18996867537498474, -0.9783401489257812, -0.23065927624702454, 0.10450272262096405, -1.0280075073242188, -0.3173167109489441, -0.4794175624847412, -0.656441867351532, 0.20622336864471436, -0.11015060544013977, 0.1892370581626892, -0.4873388707637787, 0.22537347674369812, 0.3358471989631653, 0.605182945728302, -0.40354713797569275, -0.3902740478515625, 0.5285875201225281, -0.6956769227981567, 0.4431130588054657, -1.4429563283920288, 0.8458468317985535, 1.0514414310455322, 0.36880773305892944, 0.016019534319639206, -1.1940239667892456, 0.7159236669540405, -2.17816162109375, 0.6226729154586792, -0.5957314968109131, -1.3446329832077026, -0.030521180480718613, -0.1305278241634369, -1.1905550956726074, 1.493442177772522, -0.915177583694458, -1.6028896570205688, 1.0452686548233032, -1.8264180421829224, 0.013312023133039474, 0.49032074213027954, 1.1256603002548218, -1.5235008001327515, -0.8070799112319946, 0.5781583189964294, 0.5660349130630493, -0.23628249764442444, -1.4992198944091797, -0.6910539865493774, -1.2951359748840332, 0.8738601803779602, 0.05787275731563568, 0.8678395748138428, -1.1484673023223877, -0.2081587016582489, -0.6458187699317932, 0.01891980692744255, -1.765045166015625, 0.3195260465145111, -1.2619315385818481, -1.6250885725021362, 0.30997562408447266, -0.12215086817741394, -0.5856641530990601, 0.3444678783416748, 0.646163284778595, 1.1680086851119995, -1.1283082962036133, 0.9234635233879089, -1.580719232559204, -0.5639169812202454, -0.008756542578339577, 0.0810721293091774, -0.06057441234588623, 0.6235964298248291, 1.1765965223312378, -1.222486138343811, 0.24823960661888123, -0.40812575817108154, -1.6368794441223145, -0.6229873895645142, -0.5184577703475952, 0.20388822257518768, 1.7970473766326904, -0.863318145275116, -1.0225750207901, 0.4309285879135132, 0.09380019456148148, -1.3866028785705566, 1.6453328132629395, 0.7886144518852234, -0.6040430665016174, -0.22176119685173035, 1.248663306236267, -0.22282534837722778, -0.15615466237068176, 0.13638518750667572, -1.2413398027420044, 0.8431445956230164, 0.10422872006893158, 0.8488304615020752, 0.18110837042331696, 0.7952471971511841, 0.3857632577419281, -0.010978957638144493, -0.372594952583313, -0.5802386403083801, 1.6467266082763672, -1.1279933452606201, -0.6848154067993164, 0.9011344909667969, 0.6253252029418945, 0.013955865055322647, 0.6104047298431396, 1.4130666255950928, 0.48266294598579407]",/Users/sohail433/Downloads/cropped_433_images/joe worrall/320--9--GettyImages-1302320365.jpg
7,matty cash,"[-2.07651686668396, -0.9352325201034546, -0.820374608039856, 1.730649471282959, 1.7948174476623535, -1.6837579011917114, 0.7847625017166138, 0.04601801931858063, 0.15641584992408752, 0.7345357537269592, 1.413097858428955, -2.044233560562134, 2.1016502380371094, -0.6950526237487793, 0.163339301943779, 1.1465847492218018, -0.40654730796813965, -0.4657871723175049, -2.0852296352386475, -0.3173041045665741, 0.5584441423416138, 1.0057175159454346, 0.7240834832191467, 0.7140971422195435, -0.8426809310913086, -1.226457953453064, 0.30110272765159607, 0.6108965277671814, -0.0870903879404068, 0.9548099637031555, 1.0963371992111206, -0.0494752936065197, -0.02172412909567356, 0.24313968420028687, -0.1273258924484253, -0.4458598494529724, -0.29879170656204224, -1.3921785354614258, -0.9545454382896423, -1.3870106935501099, 0.3651728630065918, 0.2044295370578766, 0.7705675363540649, -0.3610670566558838, 1.037602424621582, 0.06985729932785034, 0.8332459330558777, -0.04330320656299591, 0.8878333568572998, 1.9107238054275513, -1.597042441368103, 1.0372387170791626, -1.5925798416137695, 1.3275190591812134, -2.2362539768218994, 0.037747517228126526, -0.3110487759113312, -0.9903321266174316, -0.9971380233764648, -0.3082357347011566, -1.1377145051956177, 1.0692331790924072, 0.5888245105743408, 1.5822405815124512, 0.3478221297264099, -0.49345535039901733, -0.045427314937114716, 0.9585281610488892, -0.2204582393169403, -0.38844552636146545, -0.7606081962585449, 0.6236118078231812, 0.007859751582145691, -0.8624997138977051, -0.6778327822685242, -1.0603151321411133, -0.2603228688240051, -0.8236437439918518, -1.4893975257873535, -0.523005485534668, -0.7943884134292603, 0.4025595188140869, 0.4667079746723175, 0.07232557982206345, 0.6276323795318604, -0.1444074660539627, -0.8261173963546753, 0.6289809346199036, -1.3536977767944336, -0.9230062961578369, 1.6020700931549072, 1.3019278049468994, 1.120507001876831, 1.6802340745925903, 1.0792878866195679, 0.5612794756889343, -0.3413357734680176, 1.2885452508926392, -0.7754051685333252, -0.7390826344490051, 0.4213145971298218, 0.5119436979293823, 0.7197348475456238, -0.7467309832572937, 0.2638590633869171, 1.236259937286377, -0.3178720474243164, 0.5708130598068237, -1.216688871383667, -0.5008520483970642, -0.29834818840026855, 0.2133001685142517, 0.6581521034240723, 0.9707072973251343, 0.2579956352710724, 0.06439231336116791, 1.6656582355499268, -1.5530096292495728, -2.208416223526001, 0.7443622350692749, 0.36615705490112305, 0.2711006700992584, 1.3498135805130005, -0.7595855593681335, -0.01943599432706833, -2.0757970809936523, -0.31744590401649475, 0.8145270943641663]",/Users/sohail433/Downloads/cropped_433_images/matty cash/1283--5--GettyImages-1323706271.jpg
8,harry kane,"[0.1539788395166397, 1.230836272239685, -0.3554607033729553, -1.602569580078125, -0.8395911455154419, -1.25356125831604, -0.4487636685371399, 1.3387048244476318, -0.11295972019433975, -1.510912537574768, 0.6714746356010437, -0.1871206909418106, 1.219606637954712, 0.07369640469551086, 0.6119146347045898, -0.2755718529224396, -1.2572239637374878, -0.33553576469421387, 0.34707194566726685, 0.18583841621875763, -0.22410063445568085, 1.705906867980957, -1.0299016237258911, -0.7546691298484802, -0.40344318747520447, 0.042116928845644, -0.12559562921524048, 1.0007550716400146, -0.2011214941740036, 0.8388887047767639, -1.261544942855835, 1.4773892164230347, -0.6075616478919983, -0.5091062784194946, 1.8050575256347656, 0.708162248134613, -0.9550304412841797, -0.998772919178009, -0.04181654751300812, 1.168858289718628, -0.7236770391464233, 0.8819153904914856, -0.9543746709823608, -1.5624467134475708, 0.9578322172164917, -0.24537868797779083, 1.697374939918518, -0.8631950616836548, 0.48953038454055786, 0.876179575920105, -1.5686534643173218, 1.7750855684280396, 0.19431114196777344, -0.41594812273979187, -0.4364556074142456, -2.2921838760375977, -1.2075203657150269, 1.878926396369934, -2.014324188232422, 0.400449275970459, 1.2966597080230713, -1.1180540323257446, 0.3719298839569092, -1.4204589128494263, -0.05608142167329788, 0.23259571194648743, 1.2366890907287598, 0.6707881093025208, 2.4173526763916016, -1.4416851997375488, 1.4316402673721313, -0.14011460542678833, -1.2068543434143066, 0.7366727590560913, -0.9844120740890503, -0.27803748846054077, -0.15930131077766418, 0.02498990297317505, 1.4534908533096313, -0.4392819404602051, 1.4480266571044922, 0.18542996048927307, 1.3236138820648193, 0.2984037399291992, 0.42033571004867554, 0.4437709152698517, 0.1125267967581749, -0.5174859762191772, 0.08724547922611237, -0.18541377782821655, -0.6439881324768066, 0.7506978511810303, 0.08182121813297272, 1.0341709852218628, -0.57720547914505, 3.301607370376587, -2.5721120834350586, 1.5308935642242432, 0.3419901132583618, 0.7802561521530151, -0.3323826789855957, 0.7252209782600403, 1.2020034790039062, -1.1140724420547485, -1.2495296001434326, 0.11905652284622192, -0.15114334225654602, 2.819314479827881, -1.2799124717712402, -0.5963187217712402, 0.01562824472784996, -0.9113843441009521, 0.0922764241695404, -0.1499101221561432, 0.730587363243103, 1.6053825616836548, 0.9298940896987915, -1.0471525192260742, 0.15815052390098572, 0.723520040512085, -0.7608597278594971, 1.4162180423736572, -1.7165931463241577, -1.2153788805007935, 0.26636409759521484, 1.0554462671279907, -2.4056310653686523, -1.6370625495910645]",/Users/sohail433/Downloads/cropped_433_images/harry kane/680--7--GettyImages-1233597598.jpg
9,harry kane,"[0.6252955198287964, 0.9925642013549805, -0.4152812659740448, -1.9151341915130615, -0.27044281363487244, -1.1887190341949463, -2.5442800521850586, 0.8593295216560364, 0.6834421157836914, -1.4865058660507202, 0.05657532811164856, -0.1791730672121048, 1.5026935338974, 0.9643044471740723, 0.39281365275382996, -0.07916878163814545, -1.6032297611236572, -0.843329668045044, 0.23134508728981018, 0.8959822654724121, -0.564511775970459, 1.9763621091842651, -1.368474006652832, 0.17574886977672577, -1.1666215658187866, -0.5601220726966858, 0.3853723406791687, 1.2835105657577515, -0.3114784359931946, 1.5524206161499023, -0.9041715860366821, 0.8873018026351929, -0.6235547065734863, -0.14974936842918396, -0.46032893657684326, 2.0299746990203857, -0.5464639067649841, -1.4749703407287598, -0.42240041494369507, 1.7961000204086304, 0.16995133459568024, -0.5910952687263489, 0.30053380131721497, -1.238060712814331, 0.2741527557373047, -0.6328650116920471, 1.3769687414169312, -1.019980788230896, -0.16925808787345886, -0.17697757482528687, -1.6434874534606934, 1.046700358390808, 0.46948498487472534, 0.11630324274301529, -1.3882291316986084, -2.736896276473999, -1.3950234651565552, 1.755204200744629, -0.7837060689926147, -0.06194821000099182, 0.0508023202419281, -1.0058947801589966, 0.13289521634578705, -0.25973114371299744, -0.2890036404132843, -0.08280099928379059, 1.9876397848129272, -1.1116012334823608, 0.9607604146003723, -1.4050713777542114, 1.638373613357544, -0.07431568205356598, 0.39525359869003296, 1.5082677602767944, -2.046140670776367, 0.19372417032718658, 0.8340508937835693, 0.012289173901081085, 1.5143018960952759, -0.9955119490623474, 0.9089849591255188, 0.04049288481473923, 1.788261890411377, 1.9944307804107666, 0.047900695353746414, -0.7415223121643066, -0.06958688050508499, -0.645756185054779, 0.721300482749939, -0.699681282043457, -0.009749159216880798, -0.4928378164768219, -0.7442192435264587, 0.3639897108078003, -0.6619214415550232, 2.326667070388794, -2.636770486831665, 0.6775285005569458, -0.07011470198631287, 0.08222746849060059, 0.01594771072268486, 0.3560444116592407, 1.0085551738739014, -0.6520296931266785, -1.6789486408233643, 0.5813068747520447, -0.09514708817005157, 2.0107674598693848, -0.5600664019584656, -0.2421039342880249, 1.3745341300964355, -1.175883412361145, 0.19210979342460632, 1.1697933673858643, 1.6207512617111206, 0.6212166547775269, 1.1611454486846924, -1.3722364902496338, -0.6634247899055481, 0.6744474172592163, -0.6194522380828857, 1.173693299293518, -1.773226261138916, -1.5374757051467896, 0.06137682497501373, 0.8939054608345032, -0.01350467186421156, -1.807555079460144]",/Users/sohail433/Downloads/cropped_433_images/harry kane/1088--0--Copyright-ProShots-9409959.jpg
