harry kane,"{'Total': 5, 'Num_Correct': 4, 'Num_Wrong': 0}"
lionel messi,"{'Total': 12, 'Num_Correct': 1, 'Num_Wrong': 10}"
manuel neuer,"{'Total': 7, 'Num_Correct': 6, 'Num_Wrong': 0}"
kylian mbappe,"{'Total': 7, 'Num_Correct': 5, 'Num_Wrong': 1}"
mohamed salah,"{'Total': 3, 'Num_Correct': 0, 'Num_Wrong': 2}"
pedri,"{'Total': 8, 'Num_Correct': 3, 'Num_Wrong': 4}"
robert lewandowski,"{'Total': 10, 'Num_Correct': 5, 'Num_Wrong': 4}"
marcus rashford,"{'Total': 5, 'Num_Correct': 0, 'Num_Wrong': 5}"
erling haaland,"{'Total': 6, 'Num_Correct': 5, 'Num_Wrong': 0}"
bruno fernandes,"{'Total': 10, 'Num_Correct': 4, 'Num_Wrong': 5}"
romelu lukaku,"{'Total': 9, 'Num_Correct': 4, 'Num_Wrong': 4}"
memphis depay,"{'Total': 5, 'Num_Correct': 2, 'Num_Wrong': 2}"
cristiano ronaldo,"{'Total': 8, 'Num_Correct': 0, 'Num_Wrong': 7}"
Model,Facenet
DataSource,TM
DistanceMetric,cosine
Accuracy,39/83 -- 0.46987951807228917

harry kane,"{'Total': 5, 'Num_Correct': 2, 'Num_Wrong': 2}"
lionel messi,"{'Total': 12, 'Num_Correct': 0, 'Num_Wrong': 11}"
manuel neuer,"{'Total': 7, 'Num_Correct': 5, 'Num_Wrong': 1}"
kylian mbappe,"{'Total': 7, 'Num_Correct': 5, 'Num_Wrong': 1}"
mohamed salah,"{'Total': 3, 'Num_Correct': 0, 'Num_Wrong': 2}"
pedri,"{'Total': 8, 'Num_Correct': 2, 'Num_Wrong': 5}"
robert lewandowski,"{'Total': 10, 'Num_Correct': 5, 'Num_Wrong': 4}"
marcus rashford,"{'Total': 5, 'Num_Correct': 0, 'Num_Wrong': 5}"
erling haaland,"{'Total': 6, 'Num_Correct': 1, 'Num_Wrong': 4}"
bruno fernandes,"{'Total': 10, 'Num_Correct': 6, 'Num_Wrong': 3}"
romelu lukaku,"{'Total': 9, 'Num_Correct': 3, 'Num_Wrong': 5}"
memphis depay,"{'Total': 5, 'Num_Correct': 1, 'Num_Wrong': 3}"
cristiano ronaldo,"{'Total': 8, 'Num_Correct': 0, 'Num_Wrong': 7}"
Model,Facenet
DataSource,TM
DistanceMetric,euclidean
Accuracy,30/83 -- 0.3614457831325301

harry kane,"{'Total': 5, 'Num_Correct': 3, 'Num_Wrong': 1}"
lionel messi,"{'Total': 12, 'Num_Correct': 8, 'Num_Wrong': 3}"
manuel neuer,"{'Total': 7, 'Num_Correct': 5, 'Num_Wrong': 1}"
kylian mbappe,"{'Total': 7, 'Num_Correct': 0, 'Num_Wrong': 6}"
mohamed salah,"{'Total': 3, 'Num_Correct': 0, 'Num_Wrong': 2}"
pedri,"{'Total': 8, 'Num_Correct': 5, 'Num_Wrong': 2}"
robert lewandowski,"{'Total': 10, 'Num_Correct': 5, 'Num_Wrong': 4}"
marcus rashford,"{'Total': 5, 'Num_Correct': 3, 'Num_Wrong': 2}"
erling haaland,"{'Total': 6, 'Num_Correct': 5, 'Num_Wrong': 0}"
bruno fernandes,"{'Total': 10, 'Num_Correct': 8, 'Num_Wrong': 1}"
romelu lukaku,"{'Total': 9, 'Num_Correct': 6, 'Num_Wrong': 2}"
memphis depay,"{'Total': 5, 'Num_Correct': 3, 'Num_Wrong': 1}"
cristiano ronaldo,"{'Total': 8, 'Num_Correct': 4, 'Num_Wrong': 3}"
Model,Facenet
DataSource,FBREF
DistanceMetric,cosine
Accuracy,55/83 -- 0.6626506024096386

harry kane,"{'Total': 5, 'Num_Correct': 2, 'Num_Wrong': 2}"
lionel messi,"{'Total': 12, 'Num_Correct': 7, 'Num_Wrong': 4}"
manuel neuer,"{'Total': 7, 'Num_Correct': 4, 'Num_Wrong': 2}"
kylian mbappe,"{'Total': 7, 'Num_Correct': 0, 'Num_Wrong': 6}"
mohamed salah,"{'Total': 3, 'Num_Correct': 0, 'Num_Wrong': 2}"
pedri,"{'Total': 8, 'Num_Correct': 5, 'Num_Wrong': 2}"
robert lewandowski,"{'Total': 10, 'Num_Correct': 7, 'Num_Wrong': 2}"
marcus rashford,"{'Total': 5, 'Num_Correct': 2, 'Num_Wrong': 3}"
erling haaland,"{'Total': 6, 'Num_Correct': 3, 'Num_Wrong': 2}"
bruno fernandes,"{'Total': 10, 'Num_Correct': 7, 'Num_Wrong': 2}"
romelu lukaku,"{'Total': 9, 'Num_Correct': 6, 'Num_Wrong': 2}"
memphis depay,"{'Total': 5, 'Num_Correct': 3, 'Num_Wrong': 1}"
cristiano ronaldo,"{'Total': 8, 'Num_Correct': 2, 'Num_Wrong': 5}"
Model,Facenet
